M	A	Rank	Composite
MORN1	0.00102432632759865	0.0776442759634942	11250.320754717	MORN1: 11250.320754717
AL589739.1	7.2582665498367e-06	0.00124546163248519	26471.5188679245	AL589739.1: 26471.5188679245
AL513477.2	8.67776819897654e-05	0.00633412684816814	20331.6509433962	AL513477.2: 20331.6509433962
RER1	0.0160262150148865	1.28163999640213	1523.81132075472	RER1: 1523.81132075472
PEX10	0.00552032724793909	0.411283319900345	5284.71698113208	PEX10: 5284.71698113208
PLCH2	0.00173256872724434	0.1020642611173	9766.28301886793	PLCH2: 9766.28301886793
AL139246.1	5.3579869518436e-06	0.000576252574644185	26646.0377358491	AL139246.1: 26646.0377358491
AL139246.4	0	1.28595053862843e-05	27241.6698113208	AL139246.4: 27241.6698113208
PANK4	0.00160138343217691	0.120454331898314	10199.5188679245	PANK4: 10199.5188679245
HES5	3.45698451195605e-05	0.00410964787315258	22413.4528301887	HES5: 22413.4528301887
AL139246.5	0.00175854803177194	0.108070712917983	9639.90566037736	AL139246.5: 9639.90566037736
TNFRSF14-AS1	0.00187509105065252	0.102754331044519	9526.47169811321	TNFRSF14-AS1: 9526.47169811321
TNFRSF14	0.00628279276521003	0.387883576101418	4354.94339622641	TNFRSF14: 4354.94339622641
AL139246.3	3.16185722159911e-05	0.00362548155409398	24616.4245283019	AL139246.3: 24616.4245283019
PRXL2B	0.00232117788389268	0.161402264961528	8849.88679245283	PRXL2B: 8849.88679245283
MMEL1	0.000227148410744722	0.0244421248866506	17835.9150943396	MMEL1: 17835.9150943396
AL831784.1	0	6.63538606013302e-05	27241.6698113208	AL831784.1: 27241.6698113208
TTC34	0.000211479052217978	0.0257366705043427	17724.4150943396	TTC34: 17724.4150943396
AC242022.2	3.2733189785224e-07	0.000205135515821594	27064.0283018868	AC242022.2: 27064.0283018868
AC242022.1	0	5.07064216770331e-05	27241.6698113208	AC242022.1: 27241.6698113208
AL592464.2	0	0	27241.6698113208	AL592464.2: 27241.6698113208
AL592464.3	0	1.73457733380649e-05	27241.6698113208	AL592464.3: 27241.6698113208
AL592464.1	0	0	27241.6698113208	AL592464.1: 27241.6698113208
AL589702.1	0	2.81183978913139e-05	27241.6698113208	AL589702.1: 27241.6698113208
ACTRT2	0	4.75772152447538e-05	27241.6698113208	ACTRT2: 27241.6698113208
PRDM16-DT	0.000744517013019302	0.0499027986443593	12970.8490566038	PRDM16-DT: 12970.8490566038
PRDM16	0.000856661386574401	0.0774661014038397	12635.8962264151	PRDM16: 12635.8962264151
AL008733.1	0	0.000217825115233245	27241.6698113208	AL008733.1: 27241.6698113208
AL590438.1	2.93980288803138e-06	0.00089250125213298	26152.179245283	AL590438.1: 26152.179245283
AL354743.2	1.02758551014168e-05	0.00107469426896212	26859.179245283	AL354743.2: 26859.179245283
AL354743.1	5.93582778263015e-08	8.89336783254452e-05	27070.4905660377	AL354743.1: 27070.4905660377
ARHGEF16	0.00199200492063243	0.152234593454351	9026.62264150943	ARHGEF16: 9026.62264150943
AL512413.1	1.64527620253811e-06	0.000796513617547082	27063.1226415094	AL512413.1: 27063.1226415094
MEGF6	0.000188036832179943	0.0156997017921374	17832.3490566038	MEGF6: 17832.3490566038
AL513320.1	7.53146686135388e-05	0.00629686716048733	22152.1698113208	AL513320.1: 22152.1698113208
TPRG1L	0.00732688822791624	0.600487947626811	3605.90566037736	TPRG1L: 3605.90566037736
WRAP73	0.00330073819803173	0.241314436951332	7277.35849056604	WRAP73: 7277.35849056604
TP73	2.30879917547655e-05	0.00158972468692623	24685.5283018868	TP73: 24685.5283018868
AL136528.1	6.8768590748938e-06	0.00116116806506844	26273.8490566038	AL136528.1: 26273.8490566038
AL136528.2	0	1.88720559592704e-05	27241.6698113208	AL136528.2: 27241.6698113208
CCDC27	1.02874331881532e-05	0.00156262563568113	25857.1981132075	CCDC27: 25857.1981132075
SMIM1	0.00728600803595927	0.406490907090903	3871.96226415094	SMIM1: 3871.96226415094
LRRC47	0.00524280095136132	0.328358552674893	5146.41509433962	LRRC47: 5146.41509433962
AL365330.1	2.90378121966372e-05	0.00287899190849838	24204.7264150943	AL365330.1: 24204.7264150943
CEP104	0.00363638601344568	0.377575955128985	6602.01886792453	CEP104: 6602.01886792453
DFFB	0.000661708379132714	0.0452857647420438	12629.0188679245	DFFB: 12629.0188679245
C1orf174	0.00541080766262916	0.345701326353175	5322.98113207547	C1orf174: 5322.98113207547
LINC01134	0.00021522465341526	0.0164861520852493	17251.2830188679	LINC01134: 17251.2830188679
LINC01346	2.13449347761889e-06	0.000437119372544623	26702.6037735849	LINC01346: 26702.6037735849
LINC01345	0	1.23255349235532e-05	27241.6698113208	LINC01345: 27241.6698113208
LINC02780	0	3.29711906686687e-05	27241.6698113208	LINC02780: 27241.6698113208
AL805961.1	7.63282614457253e-06	0.00171388781847994	25877.7641509434	AL805961.1: 25877.7641509434
LINC01777	0	4.31153237170094e-05	27241.6698113208	LINC01777: 27241.6698113208
AL355602.1	0	0	27241.6698113208	AL355602.1: 27241.6698113208
